Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p400000_ds0.005_rho2350_nH25_T18_Ep5e7_mu0.50,-2.799180508,-5.987382412,4.656110287,400000,0.005,2350,25,18,0.125,50000000
p280000_ds0.005_rho2650_nH18_T18_Ep5e7_mu0.50,-2.958733559,-6.690262794,3.727174282,280000,0.005,2650,18,18,0.09,50000000
p300000_ds0.007_rho2450_nH20_T12_Ep5e7_mu0.50,-2.930541277,-7.526951313,1.133001447,300000,0.007,2450,20,12,0.14,50000000
p300000_ds0.007_rho2350_nH20_T14_Ep5e7_mu0.50,-2.942899942,-7.475673676,1.318007946,300000,0.007,2350,20,14,0.14,50000000
p300000_ds0.006_rho2350_nH20_T18_Ep5e7_mu0.50,-2.943086147,-7.453867912,1.481900573,300000,0.006,2350,20,18,0.12,50000000
p300000_ds0.006_rho2350_nH20_T12_Ep5e7_mu0.50,-2.936757565,-7.308244228,1.782311082,300000,0.006,2350,20,12,0.12,50000000
p300000_ds0.004_rho2500_nH20_T10_Ep5e7_mu0.50,-2.938444614,-7.124363899,2.238679409,300000,0.004,2500,20,10,0.08,50000000
p300000_ds0.005_rho2650_nH20_T18_Ep5e7_mu0.50,-2.889153004,-6.50254488,3.691055536,300000,0.005,2650,20,18,0.1,50000000
p300000_ds0.005_rho2650_nH20_T14_Ep5e7_mu0.50,-2.999871254,-7.062336445,2.980946302,300000,0.005,2650,20,14,0.1,50000000
p300000_ds0.004_rho2350_nH20_T16_Ep5e7_mu0.50,-2.894441366,-6.132143974,4.80516386,300000,0.004,2350,20,16,0.08,50000000
p300000_ds0.004_rho2550_nH20_T18_Ep5e7_mu0.50,-2.905176401,-5.895420551,5.43959856,300000,0.004,2550,20,18,0.08,50000000
p300000_ds0.004_rho2550_nH20_T14_Ep5e7_mu0.50,-2.981301308,-5.863096714,6.198622704,300000,0.004,2550,20,14,0.08,50000000
p300000_ds0.004_rho2500_nH20_T20_Ep5e7_mu0.50,-2.951311827,-5.560749531,6.606258869,300000,0.004,2500,20,20,0.08,50000000
p220000_ds0.006_rho2500_nH15_T16_Ep5e7_mu0.50,-3.123290539,-8.134937286,0.843068242,220000,0.006,2500,15,16,0.09,50000000
p220000_ds0.004_rho2450_nH15_T12_Ep5e7_mu0.50,-3.076457024,-7.164180279,3.365831852,220000,0.004,2450,15,12,0.06,50000000
p260000_ds0.004_rho2550_nH18_T14_Ep5e7_mu0.50,-3.084387064,-6.658737659,4.669310093,260000,0.004,2550,18,14,0.072,50000000
p200000_ds0.007_rho2350_nH15_T16_Ep5e7_mu0.50,-3.173042536,-9.123372078,-1.419903398,200000,0.007,2350,15,16,0.105,50000000
p200000_ds0.006_rho2600_nH15_T16_Ep5e7_mu0.50,-3.131981611,-8.692664146,-0.518395305,200000,0.006,2600,15,16,0.09,50000000
p200000_ds0.006_rho2450_nH15_T18_Ep5e7_mu0.50,-3.187044382,-8.707210541,-0.123251833,200000,0.006,2450,15,18,0.09,50000000
p400000_ds0.006_rho2400_nH30_T20_Ep5e7_mu0.50,-2.797572613,-6.683140755,2.76980567,400000,0.006,2400,30,20,0.18,50000000
p200000_ds0.005_rho2650_nH15_T14_Ep5e7_mu0.50,-3.185250282,-8.030666351,1.556181431,200000,0.005,2650,15,14,0.075,50000000
p240000_ds0.004_rho2550_nH18_T16_Ep5e7_mu0.50,-3.089758873,-7.12041235,3.601546049,240000,0.004,2550,18,16,0.072,50000000
p240000_ds0.005_rho2350_nH20_T16_Ep5e7_mu0.50,-3.079599142,-8.328128815,0.120114684,240000,0.005,2350,20,16,0.1,50000000
p300000_ds0.007_rho2350_nH25_T16_Ep5e7_mu0.50,-2.937372208,-7.557105541,1.184360623,300000,0.007,2350,25,16,0.175,50000000
p180000_ds0.006_rho2500_nH15_T12_Ep5e7_mu0.50,-3.236504555,-9.0148983,-0.66091609,180000,0.006,2500,15,12,0.09,50000000
p240000_ds0.006_rho2650_nH20_T14_Ep5e7_mu0.50,-3.059499502,-7.871601105,1.041982412,240000,0.006,2650,20,14,0.12,50000000
p300000_ds0.006_rho2350_nH25_T20_Ep5e7_mu0.50,-2.968552113,-7.257786751,2.253760815,300000,0.006,2350,25,20,0.15,50000000
p240000_ds0.006_rho2600_nH20_T20_Ep5e7_mu0.50,-3.110479116,-7.899055958,1.474055648,240000,0.006,2600,20,20,0.12,50000000
p300000_ds0.005_rho2650_nH25_T16_Ep5e7_mu0.50,-2.980005026,-7.188917637,2.682731628,300000,0.005,2650,25,16,0.125,50000000
